ROUTE_ID,노선명,NODE_ID,ARS_ID,정류소명,X좌표,Y좌표
100100211,2415,104000096,05189,신자초등학교앞,127.074911,37.530442
104900004,광진05,104000096,05189,신자초등학교앞,127.074911,37.530442
100100198,2221,104000096,05189,신자초등학교앞,127.074911,37.530442
100100199,2222,104000097,05190,자양미소약국.자양골목시장,127.0768713,37.53270034
100100211,2415,104000097,05190,자양미소약국.자양골목시장,127.0768713,37.53270034
100100198,2221,104000097,05190,자양미소약국.자양골목시장,127.0768713,37.53270034
100100199,2222,104000098,05191,자양동우체국.중앙농협,127.0807387,37.53153084
104900004,광진05,104000168,05261,제일은행사거리,127.0747506,37.53355053
100100199,2222,104000100,05193,자양하늘채베르아파트앞,127.0846733,37.53197322
100100211,2415,104000098,05191,자양동우체국.중앙농협,127.0807387,37.53153084
100100198,2221,104000098,05191,자양동우체국.중앙농협,127.0807387,37.53153084
104900004,광진05,104000118,05211,자양우성아파트앞,127.0734067,37.53394696
100100199,2222,104000311,05195,자양2동주민센터,127.08517,37.527949
100100211,2415,104000100,05193,자양하늘채베르아파트앞,127.0846733,37.53197322
100100198,2221,104000100,05193,자양하늘채베르아파트앞,127.0846733,37.53197322
104900004,광진05,104000119,05212,자양고교앞,127.0711714,37.53457909
100100199,2222,104000312,05196,구립행복마루어린이집,127.082213,37.527743
100100211,2415,123000508,24480,잠실대교전망쉼터,127.09479,37.519993
104900004,광진05,104000109,05202,신양초등학교앞,127.0689474,37.53523371
100100198,2221,104000291,05192,동서울우편집중국앞,127.084333,37.535052
100100198,2221,104000055,05148,NH농협은행자양로지점,127.0834074,37.53896485
100100211,2415,123000048,24137,잠실역6번출구,127.0988018,37.51439262
100100199,2222,104000313,05197,자양한강도서관,127.078333,37.528429
104900004,광진05,104000110,05203,뚝도변전소앞,127.068908,37.536091
100100199,2222,104000096,05189,신자초등학교앞,127.074911,37.530442
100100198,2221,104000053,05146,광진경찰서,127.0846474,37.54308737
100100211,2415,123000049,24138,잠실역.롯데월드,127.097765,37.512951
104900004,광진05,104000111,05204,광진문화예술회관,127.0701692,37.53856525
100100211,2415,123000050,24139,잠실5단지,127.0939144,37.51221325
100100198,2221,104000061,05154,구의사거리,127.0863481,37.54581736
104900004,광진05,104000112,05205,건국대학교앞,127.0748754,37.53844611
100100199,2222,104000168,05261,제일은행사거리,127.0747506,37.53355053
100100198,2221,104000059,05152,구의2동주민센터입구,127.0895859,37.54864168
100100211,2415,123000052,24141,잠실새내역.잠실2동주민센터,127.0872805,37.51177229
100100199,2222,104000118,05211,자양우성아파트앞,127.0734067,37.53394696
104900004,광진05,104900042,05539,송림식당앞,127.07663,37.53682211
104900004,광진05,104900037,05544,자양중학교앞,127.0759964,37.53469053
100100211,2415,123000053,24142,잠실엘스아파트앞,127.0833905,37.51187062
100100198,2221,104000006,05006,어린이대공원후문.아차산역,127.0901492,37.55120847
100100199,2222,104000119,05212,자양고교앞,127.0711714,37.53457909
100100211,2415,123000054,24143,종합운동장사거리,127.079682,37.51206
100100199,2222,104000109,05202,신양초등학교앞,127.0689474,37.53523371
100100198,2221,104000005,05005,중곡동입구삼거리,127.0865505,37.55449655
104900004,광진05,104000097,05190,자양미소약국.자양골목시장,127.0768713,37.53270034
100100211,2415,123000055,24144,잠실종합운동장,127.0720733,37.51111753
100100199,2222,104000110,05203,뚝도변전소앞,127.068908,37.536091
100100198,2221,104000003,05003,군자역.용마초등학교,127.0824731,37.55609891
104900004,광진05,104900112,05551,국민은행자양지점,127.0792388,37.53198601
100100211,2415,122000093,23196,강남경찰서면허시험장,127.06591,37.509894
104900004,광진05,104000098,05191,자양동우체국.중앙농협,127.0807387,37.53153084
100100198,2221,104000001,05001,군자교입구,127.0756461,37.55874099
100100199,2222,104000111,05204,광진문화예술회관,127.0701692,37.53856525
100100211,2415,122000094,23197,삼성역7번출구,127.0626912,37.51039894
100100199,2222,104000304,05499,건대입구(가상),127.0709898,37.54019114
104900004,광진05,104900114,05562,성자초등학교앞,127.0822557,37.53130001
100100198,2221,105000003,06003,장한평역,127.067287,37.56115106
100100199,2222,104000139,05232,건대입구역사거리.건대병원,127.071248,37.540822
100100198,2221,105000002,06002,청년회의소,127.0612838,37.56196532
100100211,2415,122000089,23192,봉은사역3번출구.삼성1파출소,127.0601629,37.51510797
104900004,광진05,104000100,05193,자양하늘채베르아파트앞,127.0846733,37.53197322
100100211,2415,122000070,23172,청담역.경기고교,127.056114,37.520026
100100198,2221,105000114,06200,답십리역사거리,127.0552011,37.56550601
100100199,2222,104000141,05234,천주교화양동성당,127.0735882,37.54590439
104900004,광진05,104900116,05572,행운슈퍼앞,127.0870099,37.53295012
100100211,2415,122000071,23173,진흥아파트,127.0520899,37.5192911
100100198,2221,105000112,06198,답십리초등학교.현대시장,127.057202,37.568453
100100199,2222,104000157,05250,광진광장,127.07154,37.548002
104900004,광진05,104900106,05576,한창주택,127.0891357,37.53361444
100100211,2415,122000104,23207,청담역7번출구,127.0506188,37.51763565
100100198,2221,105000110,06196,답십리2동시온교회앞,127.0573999,37.57059613
100100199,2222,104000293,05249,화양사거리,127.0686842,37.5483289
104900004,광진05,104900099,05579,구의아크로리버앞,127.0921363,37.53529269
100100199,2222,103000114,04213,성동세무서,127.0643373,37.54823913
100100211,2415,122000105,23208,센트럴아이파크.강남구도시관리공단,127.0518696,37.5153174
